type,group,emf,SQI
wasteland,low,-0.161620473,0.753883
wasteland,low,-0.122006657,0.767885
wasteland,low,-0.075779084,0.752839
wasteland,low,-0.273163641,0.722119
wasteland,low,-0.20631477,0.764461
wasteland,low,-0.684747107,0.637266
wasteland,low,-0.100543782,0.599902
wasteland,low,-0.295719501,0.565908
wasteland,low,-0.050713325,0.644192
wasteland,low,0.462030482,0.798755
wasteland,low,0.3511377,0.730599
wasteland,low,0.477213516,0.819285
wasteland,low,0.534026624,0.966798
wasteland,low,0.487694036,0.886059
wasteland,low,0.313353376,0.707341
wasteland,low,-0.033651458,0.695585
wasteland,low,-0.071005344,0.674325
wasteland,low,-0.016586619,0.718322
wasteland,low,0.602729874,0.867182
wasteland,low,0.702895564,0.968268
wasteland,low,0.669189246,0.920032
wasteland,low,0.035688438,0.768456
wasteland,low,-0.04705755,0.78527
wasteland,low,-0.081947082,0.77583
wasteland,low,0.486940187,0.835737
wasteland,low,0.471851893,0.808414
wasteland,low,0.622168242,0.855288
woodland,low,0.052353772,0.882523
woodland,low,0.096419844,0.913985
woodland,low,0.230499629,0.95489
woodland,low,-0.033056338,0.780728
woodland,low,-0.034622961,0.82232
woodland,low,-0.079974661,0.7575
woodland,low,-0.054233453,0.750108
woodland,low,-0.200898637,0.719136
woodland,low,-0.15480456,0.729287
woodland,low,-0.17131723,0.616912
woodland,low,-0.298045673,0.54273
woodland,low,-0.253881833,0.551944
woodland,low,-0.225137661,0.523602
woodland,low,-0.181057031,0.539038
woodland,low,-0.170585158,0.545663
woodland,low,0.250898198,0.850483
woodland,low,0.313737126,0.939459
woodland,low,0.430290582,0.919135
woodland,low,0.562391651,0.957404
woodland,low,0.475765838,0.900348
woodland,low,0.534461965,0.951505
woodland,low,0.567717271,0.788106
woodland,low,0.635703139,0.788132
woodland,low,0.723354434,0.787867
woodland,low,0.124437383,0.753351
woodland,low,0.046283725,0.670914
woodland,low,0.158364998,0.849879
woodland,low,0.230252385,0.745793
woodland,low,0.25093081,0.767921
woodland,low,0.157328464,0.722767
woodland,low,0.914153406,0.795803
woodland,low,0.822938306,0.795055
woodland,low,0.7341887,0.795711
upland,low,0.215068362,0.770937036
upland,low,0.370546927,0.801386
upland,low,0.279120541,0.770937036
upland,low,-0.529973364,0.591592
upland,low,-0.490217237,0.61945
upland,low,-0.475342541,0.616693
upland,low,-0.096982043,0.771482
upland,low,-0.068733045,0.772659
upland,low,-0.025465218,0.800328
upland,low,0.229612427,0.94649
upland,low,0.269341433,0.770937036
upland,low,0.292586512,0.770937036
upland,low,-0.069078244,0.758207
upland,low,-0.074553285,0.756094
upland,low,-0.036604076,0.778748
upland,low,-0.062147695,0.563941
upland,low,-0.152177919,0.542382
upland,low,0.000379415,0.571925
upland,low,-0.081270723,0.870394
upland,low,-0.03963841,0.814402
upland,low,0.02442127,0.904852
upland,low,0.502993443,0.883511
upland,low,0.712853844,0.920488
upland,low,0.589753965,0.864397
upland,low,-0.053454943,0.933419
upland,low,-0.059095271,0.719079
upland,low,-0.050471858,0.739416
upland,low,0.065134345,0.760349
upland,low,0.084345445,0.771963
upland,low,0.123119023,0.785564
upland,low,0.300432124,0.828284
upland,low,0.453880909,0.893926
upland,low,0.465350434,0.806202
paddy,low,0.290359441,0.807527
paddy,low,0.26284533,0.777163
paddy,low,0.254131605,0.763179
paddy,low,0.130014749,0.790455
paddy,low,0.218169353,0.78801
