type,group,lnC/lnN,lnC/lnP,lnN/lnP,lnClnN,lnClnP,length,angle
wasteland,low,1.861235708,0.721995558,0.387911942,1.777892148,0.665653106,0.882148702,84.47113596
wasteland,low,1.332729072,0.718557761,0.539162667,1.23939483,0.66302938,0.713867048,83.465682
wasteland,low,1.566383114,0.746027634,0.476274053,1.46262309,0.686936363,0.825717485,83.40497833
wasteland,low,1.755242925,0.636268465,0.362495958,1.626689901,0.579483297,0.776663083,83.63552912
wasteland,low,2.18002972,0.696576816,0.319526293,2.159996752,0.668120488,0.915705423,83.78234208
wasteland,low,1.501058694,0.608165127,0.40515746,1.469953293,0.583447136,0.75228311,84.48479713
wasteland,low,1.145638755,0.660195854,0.576268786,1.022563895,0.585393761,0.519086497,82.01370718
wasteland,low,1.256742967,0.683707242,0.544031087,1.174611985,0.635805144,0.6461059,81.67612466
wasteland,low,1.219968199,0.61747239,0.506138103,1.159496368,0.579562283,0.618842436,84.14174568
wasteland,low,1.422331012,0.972763261,0.683921853,1.711731465,0.956826294,0.962107588,63.5734761
wasteland,low,1.482054639,0.970952056,0.655139177,1.888703328,0.955078149,0.977998034,64.19101884
wasteland,low,1.454400107,0.947976454,0.651798944,1.932051487,0.930109843,0.94570182,65.88494206
wasteland,low,1.439903157,0.808628812,0.561585553,1.47347852,0.794413004,0.854510804,76.73271476
wasteland,low,1.363315502,0.744221866,0.545891149,1.344101695,0.721714105,0.797404791,82.10522285
wasteland,low,1.299523768,0.809198781,0.622688711,1.260306591,0.775031435,0.763225519,76.98756748
wasteland,low,1.307301139,0.38049293,0.87053339,1.478034015,1.113241088,0.995869241,50.35460987
wasteland,low,1.291506483,1.112611789,0.861483704,1.431892976,1.089927101,0.965946558,51.05885036
wasteland,low,1.22885015,1.031691589,0.8395585,1.329190735,1.010587396,0.865431974,53.65499282
wasteland,low,1.050215763,0.825907651,0.786417115,1.035155796,0.806932953,0.571007325,70.54986728
wasteland,low,1.073575002,0.849268081,0.791065439,1.067178576,0.836177569,0.626183062,69.45090339
wasteland,low,1.045269859,0.84463853,0.808057865,1.037303096,0.833560122,0.74473369,68.27838225
wasteland,low,1.048674719,0.701415019,0.668858518,1.023378616,0.682881499,0.799286802,77.27804459
wasteland,low,0.931460038,0.669567086,0.718836085,0.907087112,0.651303954,0.834460773,75.66752035
wasteland,low,1.004002035,0.685851688,0.683117826,0.982349272,0.669828637,0.738737701,76.92444319
wasteland,low,1.210455585,0.787143134,0.650286672,1.179406327,0.765903372,0.718662976,78.07008488
wasteland,low,1.312211626,0.756115779,0.576214815,1.288973702,0.738158406,0.776800394,80.51829465
wasteland,low,1.2474976,0.757793849,0.607451148,1.218954516,0.738303502,0.738737701,80.5077742
wasteland,high,1.891058895,0.775207791,0.869984908,1.047964431,0.741645852,0.88232231,59.84936526
wasteland,high,1.044881176,0.850742869,0.814200589,1.120235579,0.810978473,0.88232231,61.65681143
wasteland,high,0.975108956,0.822968716,0.843976165,1.085845675,0.778126387,0.88232231,60.47059001
wasteland,high,2.022151416,0.324178069,0.160313449,1.509993092,0.226103447,0.88232231,87.36045981
wasteland,high,1.233300111,0.321984794,0.672118778,1.556190248,0.232840826,0.750445841,87.97658415
wasteland,high,1.753202889,0.285167477,0.162655149,1.20258065,0.170864264,0.510002236,87.72387068
wasteland,high,2.567913999,0.809192978,0.315116853,1.113542248,0.724334362,0.921292455,78.61981615
wasteland,high,2.219752682,0.731777045,0.329666026,3.637717452,0.676123316,0.882182596,80.58110009
